Date,HomeTeam,AwayTeam,xG_Home,xG_Away,P_Home,P_Draw,P_Away,Prediction,Actual,Correct
2024-02-10,Augsburg,RB Leipzig,2.41,1.53,0.57,0.192,0.238,H,D,False
2024-02-10,Ein Frankfurt,Bochum,1.54,1.9,0.316,0.222,0.462,A,D,False
2024-02-10,M'gladbach,Darmstadt,1.88,2.41,0.305,0.193,0.501,A,D,False
2024-02-10,Union Berlin,Wolfsburg,2.62,2.07,0.504,0.184,0.31,H,H,True
2024-02-10,Werder Bremen,Heidenheim,1.71,1.65,0.399,0.228,0.373,H,A,False
2024-02-10,Leverkusen,Bayern Munich,2.72,2.22,0.494,0.181,0.323,H,H,True
2024-02-11,Stuttgart,Mainz,1.54,1.5,0.388,0.241,0.37,H,H,True
2024-02-11,Hoffenheim,FC Koln,1.61,1.63,0.381,0.233,0.387,A,D,False
2024-02-16,FC Koln,Werder Bremen,1.62,1.76,0.356,0.227,0.417,A,A,True
2024-02-17,RB Leipzig,M'gladbach,1.84,2.01,0.36,0.211,0.429,A,H,False
2024-02-17,Wolfsburg,Dortmund,2.72,2.2,0.499,0.181,0.318,H,D,False
2024-02-17,Mainz,Augsburg,1.8,1.9,0.372,0.216,0.412,A,H,False
2024-02-17,Hoffenheim,Union Berlin,1.96,1.61,0.463,0.217,0.319,H,A,False
2024-02-17,Heidenheim,Leverkusen,2.72,1.58,0.615,0.174,0.209,H,A,False
2024-02-17,Darmstadt,Stuttgart,1.82,1.5,0.453,0.227,0.32,H,A,False
2024-02-18,Freiburg,Ein Frankfurt,2.05,2.05,0.398,0.204,0.398,H,D,False
2024-02-18,Bochum,Bayern Munich,2.64,1.84,0.551,0.183,0.265,H,H,True
2024-02-23,Leverkusen,Mainz,1.79,1.82,0.384,0.219,0.397,A,H,False
2024-02-24,M'gladbach,Bochum,1.54,1.9,0.317,0.222,0.461,A,H,False
2024-02-24,Stuttgart,FC Koln,1.51,1.53,0.376,0.241,0.383,A,D,False
2024-02-24,Union Berlin,Heidenheim,1.8,2.42,0.288,0.193,0.518,A,D,False
2024-02-24,Werder Bremen,Darmstadt,1.71,1.65,0.4,0.228,0.372,H,D,False
2024-02-24,Bayern Munich,RB Leipzig,2.72,2.17,0.504,0.181,0.313,H,H,True
2024-02-25,Augsburg,Freiburg,1.66,1.44,0.428,0.237,0.335,H,H,True
2024-02-25,Ein Frankfurt,Wolfsburg,2.72,2.07,0.521,0.181,0.296,H,D,False
2024-02-25,Dortmund,Hoffenheim,2.72,1.99,0.536,0.18,0.282,H,A,False
2024-03-01,Freiburg,Bayern Munich,2.68,2.46,0.445,0.18,0.372,H,D,False
2024-03-02,Bochum,RB Leipzig,2.64,1.62,0.593,0.18,0.225,H,A,False
2024-03-02,Darmstadt,Augsburg,1.95,1.51,0.481,0.219,0.3,H,A,False
2024-03-02,Heidenheim,Ein Frankfurt,2.29,1.52,0.549,0.199,0.252,H,A,False
2024-03-02,Mainz,M'gladbach,1.68,1.88,0.349,0.219,0.431,A,D,False
2024-03-02,Union Berlin,Dortmund,2.66,2.26,0.477,0.182,0.338,H,A,False
2024-03-02,Wolfsburg,Stuttgart,1.7,1.96,0.341,0.216,0.443,A,A,True
2024-03-03,Hoffenheim,Werder Bremen,1.67,1.68,0.385,0.228,0.386,A,H,False
2024-03-03,FC Koln,Leverkusen,2.58,1.77,0.553,0.185,0.26,H,A,False
2024-03-08,Stuttgart,Union Berlin,1.83,1.5,0.456,0.226,0.318,H,H,True
2024-03-09,Werder Bremen,Dortmund,2.53,1.54,0.59,0.184,0.224,H,A,False
2024-03-09,RB Leipzig,Darmstadt,2.0,2.41,0.328,0.193,0.478,A,H,False
2024-03-09,Augsburg,Heidenheim,1.6,1.71,0.363,0.23,0.407,A,H,False
2024-03-09,Bayern Munich,Mainz,2.18,2.01,0.431,0.201,0.367,H,H,True
2024-03-09,M'gladbach,FC Koln,1.69,2.06,0.322,0.211,0.466,A,D,False
2024-03-10,Leverkusen,Wolfsburg,2.72,1.87,0.559,0.179,0.26,H,H,True
2024-03-10,Bochum,Freiburg,1.81,1.52,0.447,0.226,0.326,H,A,False
2024-03-10,Ein Frankfurt,Hoffenheim,2.18,1.99,0.433,0.202,0.364,H,H,True
2024-03-15,FC Koln,RB Leipzig,2.62,1.81,0.552,0.184,0.263,H,A,False
2024-03-16,Union Berlin,Werder Bremen,1.68,2.12,0.309,0.209,0.482,A,H,False
2024-03-16,Wolfsburg,Augsburg,1.83,1.97,0.366,0.213,0.421,A,A,True
2024-03-16,Hoffenheim,Stuttgart,1.65,1.6,0.394,0.232,0.373,H,A,False
2024-03-16,Mainz,Bochum,1.5,1.78,0.328,0.229,0.443,A,H,False
2024-03-16,Darmstadt,Bayern Munich,2.72,1.83,0.566,0.179,0.253,H,A,False
2024-03-16,Heidenheim,M'gladbach,1.83,1.49,0.456,0.226,0.317,H,D,False
2024-03-17,Freiburg,Leverkusen,2.64,2.13,0.497,0.184,0.317,H,A,False
2024-03-17,Dortmund,Ein Frankfurt,2.72,2.05,0.525,0.181,0.292,H,H,True
2024-03-30,Werder Bremen,Wolfsburg,2.49,1.41,0.61,0.184,0.205,H,A,False
2024-03-30,RB Leipzig,Mainz,1.83,2.02,0.358,0.21,0.431,A,D,False
2024-03-30,Bayern Munich,Dortmund,2.72,2.25,0.488,0.181,0.329,H,A,False
2024-03-30,Leverkusen,Hoffenheim,2.26,1.8,0.487,0.201,0.311,H,H,True
2024-03-30,Ein Frankfurt,Union Berlin,2.05,2.03,0.402,0.205,0.393,H,D,False
2024-03-30,M'gladbach,Freiburg,1.95,2.05,0.378,0.207,0.415,A,A,True
2024-03-31,Augsburg,FC Koln,1.44,1.45,0.373,0.249,0.378,A,D,False
2024-03-31,Stuttgart,Heidenheim,1.68,1.8,0.364,0.223,0.412,A,D,False
2024-03-31,Bochum,Darmstadt,1.75,1.8,0.38,0.221,0.399,A,D,False
2024-04-05,Ein Frankfurt,Werder Bremen,1.75,2.12,0.324,0.208,0.467,A,D,False
2024-04-06,Union Berlin,Leverkusen,2.68,2.13,0.503,0.182,0.312,H,A,False
2024-04-06,FC Koln,Bochum,1.42,1.58,0.345,0.242,0.413,A,H,False
2024-04-06,Freiburg,RB Leipzig,2.68,2.17,0.495,0.182,0.32,H,A,False
2024-04-06,Heidenheim,Bayern Munich,2.72,1.83,0.566,0.179,0.253,H,H,True
2024-04-06,Mainz,Darmstadt,1.83,2.26,0.318,0.2,0.481,A,H,False
2024-04-06,Dortmund,Stuttgart,2.22,2.02,0.438,0.2,0.362,H,A,False
2024-04-07,Wolfsburg,M'gladbach,1.71,1.95,0.343,0.216,0.441,A,A,True
2024-04-07,Hoffenheim,Augsburg,1.77,1.61,0.42,0.227,0.353,H,H,True
2024-04-12,Augsburg,Union Berlin,1.75,1.43,0.452,0.232,0.316,H,H,True
2024-04-13,Bayern Munich,FC Koln,2.14,2.05,0.416,0.202,0.381,H,H,True
2024-04-13,Bochum,Heidenheim,1.75,1.81,0.379,0.221,0.4,A,D,False
2024-04-13,Mainz,Hoffenheim,2.12,1.87,0.446,0.206,0.348,H,H,True
2024-04-13,M'gladbach,Dortmund,2.72,2.26,0.487,0.181,0.33,H,A,False
